Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Netherley Wood,"£54,500",Freehold,nearly 4 ½ acres,57.0332,-2.25315,"GPS coordinates: 57.0332, -2.25315",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/netherley-wood,Aberdeen,57.15,-2.11,9.695,4.5,0.0182108539008
Mungo Wood,"£75,000",Freehold,just over 4 acres,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/mungo-wood,Paisley,55.8456,-4.4239,58.815,4.0,0.0161874256896
Adhamh Wood,"£75,000",Freehold,just under 4 ¼ acres.,56.5056,-5.38972,"GPS coordinates: 56.5056, -5.38972",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/adhamh-wood,Paisley,55.8456,-4.4239,58.815,4.25,0.0171991397952
Tillycairn Wood,"£55,000",Freehold,about 5 acres,57.1893,-2.56793,"GPS coordinates: 57.1893, -2.56793",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/tillycairn-wood,Aberdeen,57.15,-2.11,17.367,5.0,0.020234282112
Ministers Moss Wood,"£79,000",Freehold,over 7 ¾ acres,57.1905,-2.5668,"GPS coordinates: 57.1905, -2.5668",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ministers-moss-wood,Aberdeen,57.15,-2.11,17.338,7.75,0.0313631372736
Ogilvie Wood,"£59,000",Freehold,about 4 ½ acres.,57.1914,-2.57171,"GPS coordinates: 57.1914, -2.57171",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/ogilvie-wood,Aberdeen,57.15,-2.11,17.53,4.5,0.0182108539008
Garth Wood,"£59,500",Freehold,about 7 acres,57.2626,-2.21814,"GPS coordinates: 57.2626, -2.21814",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/garth-wood,Aberdeen,57.15,-2.11,8.769,7.0,0.0283279949568
Breena Wood,"£45,000",Freehold,nearly 4 ¾ acres,57.2622,-2.2227,"GPS coordinates: 57.2622, -2.2227",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/breena-wood,Aberdeen,57.15,-2.11,8.825,4.75,0.0192225680064
Elrick Wood,"£45,500",Freehold,nearly 4½ acres,57.2637,-2.21925,"GPS coordinates: 57.2637, -2.21925",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/elrick-wood,Aberdeen,57.15,-2.11,8.856,4.5,0.0182108539008
Shackleton Wood,"£65,500",Freehold,about 6.25 acres,57.5359,-2.1444,"GPS coordinates: 57.5359, -2.1444",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/shackleton-wood,Aberdeen,57.15,-2.11,26.694,6.25,0.02529285264
