Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Coed Ywen,"£59,000",Freehold,4½ acres,52.9369,-2.77365,"GPS coordinates: 52.9369, -2.77365",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-ywen,Wrecsam,53.046,-2.993,11.834
Ox Hill Wood,"£75,000",Freehold,about 3 ¾ acres,50.7394,-3.09136,"GPS coordinates: 50.7394, -3.09136",https://www.woodlands.co.uk/buying-a-wood/devon/ox-hill-wood,Taunton,51.019,-3.1,19.322
Marple Wood,"£49,000",Freehold,about 2 ⅓ acres,50.7272,-3.18643,"GPS coordinates: 50.7272, -3.18643",https://www.woodlands.co.uk/buying-a-wood/devon/marple-wood,Taunton,51.019,-3.1,20.511
Knapp Wood,"£45,000",Freehold,about 2 ⅓ acres,50.7253,-3.18929,"GPS coordinates: 50.7253, -3.18929",https://www.woodlands.co.uk/buying-a-wood/devon/knapp-wood,Taunton,51.019,-3.1,20.663
Cae Ewig,"£49,000",Freehold,3¾ acres,52.6707,-3.39998,"GPS coordinates: 52.6707, -3.39998",https://www.woodlands.co.uk/buying-a-wood/north-wales/cae-ewig,Wrecsam,53.046,-2.993,30.995
Coed Criafol Goch - Llangurig,"£49,000",Freehold,over 5 acres,52.4058,-3.5877,"GPS coordinates: 52.4058, -3.5877",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-criafol-goch-llangurig,Merthyr Tudful,51.743,-3.378,46.653
Warrenby Wood,"£96,000",Freehold,almost 7 ½ acres,53.7668,-0.56479,"GPS coordinates: 53.7668, -0.56479",https://www.woodlands.co.uk/buying-a-wood/northern-england/warrenby-wood,Scunthorpe,53.5809,-0.6502,13.312
Oberon Wood,"£95,000",Freehold,over 5 ¼ acres,53.8878,-1.37271,"GPS coordinates: 53.8878, -1.37271",https://www.woodlands.co.uk/buying-a-wood/northern-england/oberon-wood,Harrogate,53.9919,-1.5378,9.84
Spain Wood,"£95,000",Freehold,over 4 ¾ acres,53.8889,-1.37198,"GPS coordinates: 53.8889, -1.37198",https://www.woodlands.co.uk/buying-a-wood/northern-england/spain-wood,Harrogate,53.9919,-1.5378,9.804
Lysander Copse,"£65,000",Freehold,just over 3 acres,53.8893,-1.37101,"GPS coordinates: 53.8893, -1.37101",https://www.woodlands.co.uk/buying-a-wood/northern-england/lysander-copse,Harrogate,53.9919,-1.5378,9.812
Sun Copse,"£85,000",Freehold,over 4 ¼ acres,53.89,-1.38143,"GPS coordinates: 53.89, -1.38143",https://www.woodlands.co.uk/buying-a-wood/northern-england/sun-copse,Harrogate,53.9919,-1.5378,9.488
Berry Hill Wood,"£69,000",Freehold,about 3 ¾ acres,51.1421,-3.91964,"GPS coordinates: 51.1421, -3.91964",https://www.woodlands.co.uk/buying-a-wood/devon/berry-hill-wood,Neath,51.66,-3.81,36.094
Hobbs Wood,"£89,000",Freehold,about 4 ¾ acres,51.1428,-3.92189,"GPS coordinates: 51.1428, -3.92189",https://www.woodlands.co.uk/buying-a-wood/devon/hobbs-wood,Neath,51.66,-3.81,36.059
